Time(s),ChangePercentage
113.38,0.00
113.58,0.41
113.78,0.15
113.98,0.00
114.18,0.39
114.38,0.00
114.58,0.40
114.78,0.00
114.98,0.39
115.18,0.00
115.38,13.31
115.58,0.00
115.78,0.40
115.98,0.00
116.18,0.40
116.38,0.00
116.58,0.41
116.78,0.00
116.98,0.39
117.18,0.00
117.38,0.38
117.58,0.00
117.78,0.39
117.98,0.00
118.18,0.37
118.38,0.00
118.58,0.00
118.78,0.39
118.98,0.00
119.18,0.40
119.38,0.40
119.58,0.17
119.78,0.00
119.98,0.40
120.18,0.00
120.38,0.40
120.58,0.00
120.78,0.39
120.98,0.00
121.18,0.39
121.38,0.00
121.58,0.38
121.78,0.00
121.98,0.38
122.18,0.00
122.38,0.39
122.58,0.00
122.78,0.39
122.98,0.00
123.18,0.40
123.38,0.00
123.58,0.40
123.78,0.00
123.98,0.00
124.18,0.40
124.38,0.00
124.58,0.40
124.78,0.00
124.98,0.39
125.18,0.00
125.38,0.39
125.58,0.00
125.78,0.40
125.98,0.00
126.18,0.40
126.38,0.00
126.58,0.39
126.78,0.00
126.98,0.39
127.18,0.00
127.38,0.40
127.58,0.00
127.78,0.39
127.98,0.00
128.18,0.39
128.38,0.00
128.58,0.39
128.78,0.00
128.98,0.00
129.18,0.39
129.38,0.00
129.58,0.40
129.78,0.00
129.98,0.40
130.18,0.00
130.38,0.40
130.58,0.00
130.78,0.40
130.98,0.00
131.18,0.39
131.38,0.00
131.58,0.38
131.78,0.00
131.98,13.20
132.18,0.00
132.38,0.39
132.58,0.00
132.78,0.38
132.98,0.00
133.18,0.39
133.38,0.00
133.58,0.00
133.78,0.40
133.98,0.00
134.18,0.40
134.38,0.00
134.58,0.39
134.78,0.00
134.98,0.39
135.18,0.00
135.38,0.38
135.58,0.00
135.78,0.37
135.98,0.00
136.18,0.38
136.38,0.00
136.58,0.39
136.78,0.00
136.98,0.39
137.18,0.00
137.38,0.38
137.58,0.00
137.78,0.40
137.98,0.00
138.18,0.39
138.38,0.00
138.58,0.00
138.78,0.39
138.98,0.00
139.18,0.40
139.38,0.00
139.58,0.40
139.78,0.00
139.98,0.40
140.18,0.00
140.38,0.40
140.58,0.00
140.78,0.40
140.98,0.00
141.18,0.41
141.38,0.00
141.58,0.39
141.78,0.00
141.98,0.38
142.18,0.00
142.38,0.38
142.58,0.00
142.78,0.39
142.98,0.00
143.18,0.40
143.38,0.00
143.58,0.00
143.78,0.38
143.98,0.00
144.18,0.38
144.38,0.00
144.58,0.39
144.78,0.00
144.98,0.40
145.18,0.00
145.38,0.40
145.58,0.00
145.78,0.40
145.98,0.00
146.18,0.39
146.38,0.00
146.58,0.39
146.78,0.00
146.98,0.40
