Video Analysis Log - prema
Video Duration: 269.07 seconds
Change Threshold: 4.0%
Start Time: 2s
==================================================


>>> INITIAL SCREENSHOT A CAPTURED at 2.2s
Time 55.2s: 0.3% different
Time 55.4s: 0.0% different
Time 55.6s: 0.3% different
Time 55.8s: 0.0% different
Time 56.0s: 0.3% different
Time 56.2s: 0.3% different
Time 56.4s: 0.0% different
Time 56.6s: 0.3% different
Time 56.8s: 11.4% different

>>> SCREENSHOT A CAPTURED at 56.8s (11.4% >= 4.0%)
Time 57.0s: 0.0% different
Time 57.2s: 0.3% different
Time 57.4s: 0.3% different
Time 57.6s: 0.0% different
Time 57.8s: 0.3% different
Time 58.0s: 0.3% different
Time 58.2s: 0.3% different
Time 58.4s: 0.0% different
Time 58.6s: 0.3% different
Time 58.8s: 0.0% different
Time 59.0s: 0.3% different
Time 59.2s: 0.3% different
Time 59.4s: 0.3% different
Time 59.6s: 0.0% different
Time 59.8s: 0.3% different
Time 60.0s: 0.3% different
Time 60.2s: 0.0% different
Time 60.4s: 0.3% different
Time 60.6s: 0.3% different
Time 60.8s: 0.0% different
Time 61.0s: 0.3% different
Time 61.2s: 0.3% different
Time 61.4s: 0.0% different
Time 61.6s: 0.3% different
Time 61.8s: 0.3% different
Time 62.0s: 0.0% different
Time 62.2s: 0.3% different
Time 62.4s: 0.3% different
Time 62.6s: 0.0% different
Time 62.8s: 0.3% different
Time 63.0s: 0.3% different
Time 63.2s: 0.0% different
Time 63.4s: 0.3% different
Time 63.6s: 0.3% different
Time 63.8s: 0.0% different
Time 64.0s: 0.3% different
Time 64.2s: 0.0% different
Time 64.4s: 0.3% different
Time 64.6s: 0.3% different
Time 64.8s: 0.0% different
Time 65.0s: 0.3% different
Time 65.2s: 0.3% different
Time 65.4s: 0.3% different
Time 65.6s: 0.0% different
Time 65.8s: 0.3% different
Time 66.0s: 0.3% different
Time 66.2s: 0.0% different
Time 66.4s: 0.3% different
Time 66.6s: 0.3% different
Time 66.8s: 0.3% different
Time 67.0s: 0.0% different
Time 67.2s: 0.3% different
Time 67.4s: 0.3% different
Time 67.6s: 0.0% different
Time 67.8s: 0.3% different
Time 68.0s: 0.3% different
Time 68.2s: 0.0% different
Time 68.4s: 0.3% different
Time 68.6s: 11.8% different

>>> SCREENSHOT A CAPTURED at 68.6s (11.8% >= 4.0%)
Time 68.8s: 0.0% different
Time 69.0s: 0.3% different
Time 69.2s: 0.3% different
Time 69.4s: 0.0% different
Time 69.6s: 0.3% different
Time 69.8s: 0.3% different
Time 70.0s: 0.0% different
Time 70.2s: 0.3% different
Time 70.4s: 0.3% different
Time 70.6s: 0.0% different
Time 70.8s: 0.3% different
Time 71.0s: 0.3% different
Time 71.2s: 0.0% different
Time 71.4s: 0.3% different
Time 71.6s: 0.3% different
Time 71.8s: 0.0% different
Time 72.0s: 0.3% different
Time 72.2s: 0.3% different
Time 72.4s: 0.0% different
Time 72.6s: 0.3% different
Time 72.8s: 0.3% different
Time 73.0s: 0.0% different
Time 73.2s: 0.3% different
Time 73.4s: 0.3% different
Time 73.6s: 0.0% different
Time 73.8s: 0.3% different
Time 74.0s: 0.3% different
Time 74.2s: 0.0% different
Time 74.4s: 0.3% different
Time 74.6s: 0.3% different
Time 74.8s: 0.0% different
Time 75.0s: 0.3% different
Time 75.2s: 0.3% different
Time 75.4s: 0.3% different
Time 75.6s: 0.0% different
Time 75.8s: 0.3% different
Time 76.0s: 0.0% different
Time 76.2s: 0.3% different
Time 76.4s: 0.3% different
Time 76.6s: 0.0% different
Time 76.8s: 0.3% different
Time 77.0s: 0.3% different
Time 77.2s: 0.3% different
Time 77.4s: 0.0% different
Time 77.6s: 0.3% different
Time 77.8s: 0.3% different
Time 78.0s: 0.0% different
Time 78.2s: 0.3% different
Time 78.4s: 0.0% different
Time 78.6s: 0.3% different
Time 78.8s: 0.3% different
Time 79.0s: 0.0% different
Time 79.2s: 0.3% different
Time 79.4s: 0.3% different
Time 79.6s: 0.3% different
Time 79.8s: 0.0% different
Time 80.0s: 0.3% different
Time 80.2s: 0.3% different
Time 80.4s: 0.0% different
Time 80.6s: 11.0% different

>>> SCREENSHOT A CAPTURED at 80.6s (11.0% >= 4.0%)
Time 80.8s: 0.3% different
Time 81.0s: 0.0% different
Time 81.2s: 0.3% different
Time 81.4s: 0.3% different
Time 81.6s: 0.0% different
Time 81.8s: 0.3% different
Time 82.0s: 0.3% different
Time 82.2s: 0.0% different
Time 82.4s: 0.3% different
Time 82.6s: 0.3% different
Time 82.8s: 0.0% different
Time 83.0s: 0.3% different
Time 83.2s: 0.3% different
Time 83.4s: 0.0% different
Time 83.6s: 0.3% different
Time 83.8s: 0.3% different
Time 84.0s: 0.0% different
Time 84.2s: 0.3% different
Time 84.4s: 0.3% different
Time 84.6s: 0.0% different
Time 84.8s: 0.3% different
Time 85.0s: 0.3% different
Time 85.2s: 0.0% different
Time 85.4s: 0.3% different
Time 85.6s: 0.3% different
Time 85.8s: 0.3% different
Time 86.0s: 0.0% different
Time 86.2s: 0.3% different
Time 86.4s: 0.3% different
Time 86.6s: 0.0% different
Time 86.8s: 0.3% different
Time 87.0s: 0.0% different
Time 87.2s: 0.3% different
Time 87.4s: 0.3% different
Time 87.6s: 0.0% different
Time 87.8s: 0.3% different
Time 88.0s: 0.3% different
Time 88.2s: 0.3% different
Time 88.4s: 0.0% different
Time 88.6s: 0.3% different
Time 88.8s: 0.0% different
Time 89.0s: 0.3% different
Time 89.2s: 0.3% different
Time 89.4s: 0.3% different
Time 89.6s: 0.0% different
Time 89.8s: 0.3% different
Time 90.0s: 0.3% different
Time 90.2s: 0.0% different
Time 90.4s: 0.3% different
Time 90.6s: 0.3% different
Time 90.8s: 0.0% different
Time 91.0s: 0.3% different
Time 91.2s: 0.3% different
Time 91.4s: 0.0% different
Time 91.6s: 0.3% different
Time 91.8s: 0.3% different
Time 92.0s: 0.0% different
Time 92.2s: 0.3% different
Time 92.4s: 10.9% different

>>> SCREENSHOT A CAPTURED at 92.4s (10.9% >= 4.0%)
Time 92.6s: 0.0% different
Time 92.8s: 0.3% different
Time 93.0s: 0.3% different
Time 93.2s: 0.0% different
Time 93.4s: 0.3% different
Time 93.6s: 0.3% different
